trial_id,integrante,kata,tratamento_executado,tratamento_planejado,aderente
p1-kata-01-faixas-ia,p1,kata-01-faixas,IA,IA,True
p1-kata-02-espiral-manual,p1,kata-02-espiral,MANUAL,MANUAL,True
p1-kata-03-duracao-ia,p1,kata-03-duracao,IA,IA,True
p1-kata-04-romanos-manual,p1,kata-04-romanos,MANUAL,MANUAL,True
p1-kata-05-rainha-ia,p1,kata-05-rainha,IA,IA,True
p1-kata-06-delimitadores-manual,p1,kata-06-delimitadores,MANUAL,MANUAL,True
p2-kata-01-faixas-ia,p2,kata-01-faixas,IA,MANUAL,False
p2-kata-02-espiral-manual,p2,kata-02-espiral,MANUAL,IA,False
p2-kata-03-duracao-ia,p2,kata-03-duracao,IA,MANUAL,False
p2-kata-04-romanos-manual,p2,kata-04-romanos,MANUAL,IA,False
p2-kata-05-rainha-ia,p2,kata-05-rainha,IA,MANUAL,False
p2-kata-06-delimitadores-manual,p2,kata-06-delimitadores,MANUAL,IA,False
p3-kata-01-faixas-ia,p3,kata-01-faixas,IA,MANUAL,False
p3-kata-02-espiral-ia,p3,kata-02-espiral,IA,IA,True
p3-kata-03-duracao-manual,p3,kata-03-duracao,MANUAL,MANUAL,True
p3-kata-04-romanos-ia,p3,kata-04-romanos,IA,IA,True
p3-kata-05-rainha-manual,p3,kata-05-rainha,MANUAL,IA,False
p3-kata-06-delimitadores-manual,p3,kata-06-delimitadores,MANUAL,MANUAL,True
