metrica,tratamento,n,mediana,q1,q3,iqr,min,max
cc_media,IA,9,8.0,6.0,12.0,6.0,3.0,23.0
cc_media,MANUAL,9,13.0,9.0,14.0,5.0,3.0,18.0
cc_max,IA,9,8.0,6.0,12.0,6.0,4.0,23.0
cc_max,MANUAL,9,13.0,9.0,14.0,5.0,4.0,18.0
cc_soma,IA,9,8.0,7.0,12.0,5.0,6.0,23.0
cc_soma,MANUAL,9,13.0,9.0,14.0,5.0,9.0,18.0
n_funcoes,IA,9,1.0,1.0,1.0,0.0,1.0,2.0
n_funcoes,MANUAL,9,1.0,1.0,1.0,0.0,1.0,3.0
loc,IA,9,33.0,27.0,42.0,15.0,21.0,89.0
loc,MANUAL,9,36.0,35.0,41.0,6.0,29.0,61.0
cc_soma_por_loc,IA,9,0.2584,0.2286,0.2857,0.0571,0.2222,0.381
cc_soma_por_loc,MANUAL,9,0.3714,0.25,0.3913,0.1413,0.2195,0.4286
pct_duplicado,IA,9,0.0,0.0,0.0,0.0,0.0,2.44
pct_duplicado,MANUAL,9,0.0,0.0,0.0,0.0,0.0,0.0
