trial_id,integrante,kata,tratamento,arquivos,loc,n_funcoes,cc_max,cc_soma,cc_media,cc_max_por_loc,cc_soma_por_loc,linhas_analisadas,linhas_duplicadas,pct_duplicado
p1-kata-01-faixas-ia,p1,kata-01-faixas,IA,1,21,2,6,8,4,0.2857,0.381,35,0,0
p1-kata-02-espiral-manual,p1,kata-02-espiral,MANUAL,1,35,1,13,13,13,0.3714,0.3714,46,0,0
p1-kata-03-duracao-ia,p1,kata-03-duracao,IA,1,31,1,7,7,7,0.2258,0.2258,43,0,0
p1-kata-04-romanos-manual,p1,kata-04-romanos,MANUAL,1,46,1,18,18,18,0.3913,0.3913,61,0,0
p1-kata-05-rainha-ia,p1,kata-05-rainha,IA,1,42,1,12,12,12,0.2857,0.2857,52,0,0
p1-kata-06-delimitadores-manual,p1,kata-06-delimitadores,MANUAL,1,29,1,9,9,9,0.3103,0.3103,40,0,0
p1-kata-01-faixas-ia,p1,kata-01-faixas,IA,1,21,2,6,8,4,0.2857,0.381,35,0,0
p1-kata-02-espiral-manual,p1,kata-02-espiral,MANUAL,1,35,1,13,13,13,0.3714,0.3714,46,0,0
p1-kata-03-duracao-ia,p1,kata-03-duracao,IA,1,31,1,7,7,7,0.2258,0.2258,43,0,0
p1-kata-04-romanos-manual,p1,kata-04-romanos,MANUAL,1,46,1,18,18,18,0.3913,0.3913,61,0,0
p1-kata-05-rainha-ia,p1,kata-05-rainha,IA,1,42,1,12,12,12,0.2857,0.2857,52,0,0
p1-kata-06-delimitadores-manual,p1,kata-06-delimitadores,MANUAL,1,29,1,9,9,9,0.3103,0.3103,40,0,0
p1-kata-01-faixas-ia,p1,kata-01-faixas,IA,1,21,2,6,8,4,0.2857,0.381,35,0,0
p1-kata-02-espiral-manual,p1,kata-02-espiral,MANUAL,1,35,1,13,13,13,0.3714,0.3714,46,0,0
p1-kata-03-duracao-ia,p1,kata-03-duracao,IA,1,31,1,7,7,7,0.2258,0.2258,43,0,0
p1-kata-04-romanos-manual,p1,kata-04-romanos,MANUAL,1,46,1,18,18,18,0.3913,0.3913,61,0,0
p1-kata-05-rainha-ia,p1,kata-05-rainha,IA,1,42,1,12,12,12,0.2857,0.2857,52,0,0
p1-kata-06-delimitadores-manual,p1,kata-06-delimitadores,MANUAL,1,29,1,9,9,9,0.3103,0.3103,40,0,0
p3-kata-03-duracao-manual,p3,kata-03-duracao,MANUAL,1,41,3,4,9,3,0.0976,0.2195,53,0,0
p3-kata-01-faixas-ia,p3,kata-01-faixas,IA,1,25,2,4,6,3,0.16,0.24,40,0,0
p3-kata-05-rainha-manual,p3,kata-05-rainha,MANUAL,1,37,1,14,14,14,0.3784,0.3784,50,0,0
p3-kata-02-espiral-ia,p3,kata-02-espiral,IA,1,33,1,11,11,11,0.3333,0.3333,47,0,0
p3-kata-06-delimitadores-manual,p3,kata-06-delimitadores,MANUAL,1,31,1,13,13,13,0.4194,0.4194,39,0,0
p3-kata-04-romanos-ia,p3,kata-04-romanos,IA,1,89,1,23,23,23,0.2584,0.2584,123,3,2.44
