kata,tratamento,n_trials,linhas_analisadas,linhas_duplicadas,pct_duplicado,clones
kata-01-faixas,IA,1,35,0,0,0
kata-02-espiral,MANUAL,1,46,0,0,0
kata-03-duracao,IA,1,43,0,0,0
kata-04-romanos,MANUAL,1,61,0,0,0
kata-05-rainha,IA,1,52,0,0,0
kata-06-delimitadores,MANUAL,1,40,0,0,0
kata-01-faixas,IA,3,111,0,0,0
kata-02-espiral,MANUAL,2,87,0,0,0
kata-03-duracao,IA,2,93,0,0,0
kata-04-romanos,MANUAL,2,143,8,5.59,1
kata-05-rainha,IA,2,114,6,5.26,1
kata-06-delimitadores,MANUAL,3,134,0,0,0
kata-02-espiral,IA,1,47,0,0,0
kata-03-duracao,MANUAL,1,53,0,0,0
kata-04-romanos,IA,1,123,3,2.44,1
kata-05-rainha,MANUAL,1,50,0,0,0
