sprint,captured_at,issue_number,title,status,state,assignees,labels,url,created_at,closed_at
lab01s01,2026-08-13T22:56:24.306232+00:00,4,"Sprint 1: Hipóteses informais das 7 RQs e fonte de ""linguagens populares""",Done,CLOSED,pedroMontandon,,https://github.com/matheustitton/lab01-repositorios-populares/issues/4,2026-08-11T23:55:44+00:00,2026-08-13T20:55:34+00:00
lab01s01,2026-08-13T22:56:24.306232+00:00,6,Sprint 1: Snapshot de fechamento da Sprint 01 (Lab01S01),Done,CLOSED,muriloAmachado;matheustitton,,https://github.com/matheustitton/lab01-repositorios-populares/issues/6,2026-08-12T00:01:08+00:00,2026-08-13T22:55:44+00:00
lab01s01,2026-08-13T22:56:24.306232+00:00,3,Sprint 1: Implementar processamento dos dados e exportação em CSV,Done,CLOSED,pedroMontandon,,https://github.com/matheustitton/lab01-repositorios-populares/issues/3,2026-08-11T23:52:28+00:00,2026-08-13T16:57:48+00:00
lab01s01,2026-08-13T22:56:24.306232+00:00,5,"Sprint 1: Setup do GitHub Projects: colunas, WIP e política do board",Done,CLOSED,matheustitton,,https://github.com/matheustitton/lab01-repositorios-populares/issues/5,2026-08-11T23:59:40+00:00,2026-08-11T23:59:55+00:00
lab01s01,2026-08-13T22:56:24.306232+00:00,1,Sprint 1: Implementar consulta GraphQL para 100 repositórios,Done,CLOSED,pedroMontandon,,https://github.com/matheustitton/lab01-repositorios-populares/issues/1,2026-08-11T23:48:04+00:00,2026-08-13T14:54:17+00:00
lab01s01,2026-08-13T22:56:24.306232+00:00,2,Sprint 1: Validar campos brutos da API em amostra de 5-10 repositórios,Done,CLOSED,matheustitton,,https://github.com/matheustitton/lab01-repositorios-populares/issues/2,2026-08-11T23:50:22+00:00,2026-08-13T21:25:43+00:00
lab01s01,2026-08-13T22:56:24.306232+00:00,7,Sprint 1: Criar arquitetura inicial do projeto,Done,CLOSED,muriloAmachado,,https://github.com/matheustitton/lab01-repositorios-populares/issues/7,2026-08-13T13:41:42+00:00,2026-08-13T13:43:56+00:00
lab01s02,2026-08-20T19:04:09.849436+00:00,4,"Sprint 1: Hipóteses informais das 7 RQs e fonte de ""linguagens populares""",Done,CLOSED,pedroMontandon,,https://github.com/matheustitton/lab01-repositorios-populares/issues/4,2026-08-11T23:55:44+00:00,2026-08-13T20:55:34+00:00
lab01s02,2026-08-20T19:04:09.849436+00:00,17,[SPRINT 2] Implementação do GraphQL para 1000 repositórios,Done,CLOSED,muriloAmachado,,https://github.com/matheustitton/lab01-repositorios-populares/issues/17,2026-08-18T22:33:58+00:00,2026-08-18T23:24:21+00:00
lab01s02,2026-08-20T19:04:09.849436+00:00,6,Sprint 1: Snapshot de fechamento da Sprint 01 (Lab01S01),Done,CLOSED,muriloAmachado;matheustitton,,https://github.com/matheustitton/lab01-repositorios-populares/issues/6,2026-08-12T00:01:08+00:00,2026-08-13T22:55:44+00:00
lab01s02,2026-08-20T19:04:09.849436+00:00,3,Sprint 1: Implementar processamento dos dados e exportação em CSV,Done,CLOSED,pedroMontandon,,https://github.com/matheustitton/lab01-repositorios-populares/issues/3,2026-08-11T23:52:28+00:00,2026-08-13T16:57:48+00:00
lab01s02,2026-08-20T19:04:09.849436+00:00,5,"Sprint 1: Setup do GitHub Projects: colunas, WIP e política do board",Done,CLOSED,matheustitton,,https://github.com/matheustitton/lab01-repositorios-populares/issues/5,2026-08-11T23:59:40+00:00,2026-08-11T23:59:55+00:00
lab01s02,2026-08-20T19:04:09.849436+00:00,1,Sprint 1: Implementar consulta GraphQL para 100 repositórios,Done,CLOSED,pedroMontandon,,https://github.com/matheustitton/lab01-repositorios-populares/issues/1,2026-08-11T23:48:04+00:00,2026-08-13T14:54:17+00:00
lab01s02,2026-08-20T19:04:09.849436+00:00,2,Sprint 1: Validar campos brutos da API em amostra de 5-10 repositórios,Done,CLOSED,matheustitton,,https://github.com/matheustitton/lab01-repositorios-populares/issues/2,2026-08-11T23:50:22+00:00,2026-08-13T21:25:43+00:00
lab01s02,2026-08-20T19:04:09.849436+00:00,7,Sprint 1: Criar arquitetura inicial do projeto,Done,CLOSED,muriloAmachado,,https://github.com/matheustitton/lab01-repositorios-populares/issues/7,2026-08-13T13:41:42+00:00,2026-08-13T13:43:56+00:00
lab01s02,2026-08-20T19:04:09.849436+00:00,12,[SPRINT 2] Analise RQ1 e RQ2 para 1000 repositórios,Done,CLOSED,muriloAmachado,,https://github.com/matheustitton/lab01-repositorios-populares/issues/12,2026-08-18T12:38:50+00:00,2026-08-18T23:25:39+00:00
lab01s02,2026-08-20T19:04:09.849436+00:00,13,"[SPRINT 2] Analise RQ3, RQ4 e RQ5 para 1000 repositórios",Done,CLOSED,matheustitton,,https://github.com/matheustitton/lab01-repositorios-populares/issues/13,2026-08-18T12:39:37+00:00,2026-08-18T23:30:20+00:00
